Name,Project,Organization
Pranshu Kharkwal,Create a single universal CUPS filter to replace the chain of individual filters,The Linux Foundation
Kaustubh Chaudhari,New Version Refactoring,NumFOCUS
Rohit Sutradhar,Tutorial for Universal Intrinsics and parallel_for_ for efficient cross-platform algorithm implementation,OpenCV
Khushal Uttam,Kotlin Refactoring and MVVM Implementation,International Catrobat Association
Quanwen Chen,List Configuration Tool,GNU Mailman Project
Shayan Majumder,CCSDS File Delivery Protocol in MicroPython,LibreCube Initiative
pruhnuhv,Improving the Raspberry Pi BSP,RTEMS Project
Lahiru Udayanga De Silva,3scale - Envoy proxy authorization cache,JBoss Community
Rafael Badell,Implementation of sensor and actuator models in Cubesat Simulator,AerospaceResearch.net
Valentin Boettcher,KStars DSO Overhaul,KDE Community
Naveen Sai,Rational Solutions of Riccati ODEs,SymPy
Nolan Windham,Open Book Genome Project,Internet Archive
Shiyu Liu,Diversity transformation class space and implement Coverage-guided mutation-based fuzzing for WebGPU,Android Graphics Tools Team
leachim,Improving Turing’s documentation and tutorials,The Julia Language
Niteesh Babu G S,"Interactive, asynchronous QEMU Machine Protocol (QMP) text user interface (TUI)",QEMU
Egor Zverev,Extend Data Pipelines to cover more data products,MapAction
Rahul Saxena,GSoC 2021 Proposal Productionizing bddashboard,The R Project for Statistical Computing
Flynn,A Privacy-Respecting Email Service for Personal Servers,Debian
Ishan Vatsaraj,TVB for Jupyter and Collaboratory,INCF
Daniel Ko,try.spinnaker.io,Continuous Delivery Foundation
mmalenic,Pure Rust Htsget Implementation,Global Alliance for Genomics and Health
Phuoc-Khanh LE,digiKam Image Quality Sorter algorithms improvement,KDE Community
Sylwia Majchrowska,Modelling complex materials electromagnetic properties in gprMax software,gprMax
Aryan Verma,CovCT: Development of an AI-based Android Application for distinguishing COVID-19 and Pneumonia using Computed Tomography Images and generate reports for analysis,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
Paula Marin,SatNOGS Network data visualizer for Liquid Galaxy,Liquid Galaxy project
Anuradha Pandey,"Adopt an unreleased language pair, Hindi-Bhojpuri",Apertium
Prakhar Saxena,Continuum Mechanics: Creating a Rich Beam Solver and Extending Continuum Mechanics Module,SymPy
Esandha Vithanage,S-ChainX: Product Hunter,SCoRe Lab
Suraj Kumar Mahto,KMyMoney : Integration of the new functionalities from the Alkimia library,KDE Community
Aman Gupta,Awesome Demo Game Project : King Of Batona,International Catrobat Association
Aleksei Dorkin,Automatic Qualia Extraction and Annotation Tools,FrameNet Brasil (UFJF)
Cédric Dollet,Colour-Science for python,NumFOCUS
Akash Saini,Brokering Continuous Delivery through the ELIXIR Cloud service registry,Global Alliance for Genomics and Health
Priyanshu_Agarwal,PyBaMM - Printing formatted equations,NumFOCUS
Dmitry Volodin,25 Dmitry Volodin Github Action Workflows for Scheduled Algorithm Deployment,Orcasound
jrybak,Dimensionality Reduction for Studying Diffuse Circumgalactic Medium,Machine Learning for Science (ML4SCI) Umbrella Organization
Vedant Nandoskar,Real Time Collaborative Pathology,caMicroscope
Raghav Bhatia,Newman request,Postman
Priyank Patel,TypeScript Migration,Zulip
Shiven Tripathi,Analyzing stimulus prediction capabilities of neurons: predictive information estimation methods,INCF
Jenny Yu,Custom Abundance Widget,TARDIS SN
Yash Pandey,"Benchmarking, Python bindings and Migrating to CTest for Casbin-CPP",Casbin
Linda Kladivova,First steps towards a new GRASS GIS Single-Window GUI,OSGeo - Open Source Geospatial Foundation
Namit Chandwani,Develop a Golang-based framework to enhance Knative’s functionalities,JBoss Community
giulio,Simplified external port forwarding and automatic NAT traversal,Qubes OS
Kannav Krishan Mehta,Finalizing and improving the subtensor type,Boost C++ Libraries
Simon Thor,Enhancing the Plotting Functionality in MCnet/Rivet,CERN-HSF
Vladislav Kakurin,Non-blocking multi-thread IO_CACHE,MariaDB Foundation
Adam R. Jensen,Making pvlib python a one-stop source for solar resource data,NumFOCUS
Artemis Georgopoulou,sch-webapps: aggregator for web-based educational material,GFOSS - Open Technology Alliance
Zhengkun Chen,Google summer of code 2021 Application,GNSS-SDR
Sahan Dissanayaka,ImageLab - extend the functionality,SCoRe Lab
Ji Ho Kang,Nemo Optimization by WAN Hierarchical Aggregation and Fidelity Control,The Apache Software Foundation
acmcmc,New database search backend,Django Software Foundation
Sahil Grewal,Upgrade WebdriverIO to the latest version 7 for all repositories,Wikimedia Foundation
Aakash Kaushik,Ready to use Models in mlpack,mlpack
Paritosh Singh,Improving Google Search Result On Buddhist Entities.,Project WikiLoop
Saurabh Gupta-1,Sugarizer Story Activity,Sugar Labs
Artur Tomczak,Add IDS validation with BCF output to IfcOpenShell,BRL-CAD
Garv Tambi,Computer vision for detecting elements of a vehicle’s environment with RoboComp,RoboComp
Prashant Dodiya,Microfarm For Everybody,coala
alexrockhill,mne-python intracranial electrode localization toolbox,Python Software Foundation
Alejandra Cossío Ch.,Refining Code Critics,Pharo Consortium
thhagelmayer,dd support for error terms with explicit constants to AsymptoticRing,SageMath
Abdallah Ahmed,BibTeX Plugin Project,Joplin
Hemansh Khaneja,Cross-Slide Coordinated Viewing,caMicroscope
Archana Warrier,GSoC Proposal - Causal and counterfactual methods for fairness in machine learning,The Julia Language
Balaji G,DataFrame,Pharo Consortium
Gabriela Bittencourt,Improving workflow with autocomplete feature,Purr Data
Umang Kalra,"Auto-Arrangement of Nodes in GraphEdit, VisualScript and VisualShaders",Godot Engine
Bhavna Kosta,Firmware and other file handling in PAPPL,The Linux Foundation
Miranda Ren,Enhance Project Repository and WebApp of Catalog of Digital Solutions,Digital Impact Alliance (DIAL) at UN Foundation
Yusuf Karadag,Application Proposal for Apache Clerezza,The Apache Software Foundation
Wenzhang Yang,Static analysis for unreachable functions,GNU Compiler Collection (GCC)
Karan Kharecha,User Centric Knowledge Engineering and Data Visualization,DBpedia
Guanglin Huang,Factor analysis based on higher-order moments,The R Project for Statistical Computing
Jiyeon Lee,Inference Latency Estimator with Ensemble of Regression Models,MediaPipe
Akanksha Garg,Detect Unknown Licenses and Indirect License references in ScanCode,AboutCode
Hardik Katehara,Make backend code typed,Oppia Foundation
Rishabh kohale,Interactive viewer for systems-biology variant interpretation (Server-side),Open Genome Informatics
Meenal Jhajharia,Extending Time-Series Models,NumFOCUS
Srihari Humbarwadi,Implementing State of the Art Object Detection Models for Tensorflow Model Garden,TensorFlow
EasonC13,Automatic Identification And Classification of Contract Data Types with NLP,Accord Project
Sarthak Bhardwaj-1,Re: Develop a test framework for checking FreeType's rendering output,FreeType
Ruturaj Mohite,Refactoring Testbench and Automated Testing,CircuitVerse.org
Martynas Jočys,Evolving bdchecks: a biodiversity data quality checks framework,The R Project for Statistical Computing
Kumar Shivendu,Improve the Archive Search,Software Heritage
Akshansh Bhatt,Improving and Expanding Functionalities in Control Module,SymPy
Juan Elias Rodriguez,Proposal by Juan Elias for OpenLex PyAr,Python Software Foundation
Zeping Bai,Enhanced authentication for APISIX Dashboard,The Apache Software Foundation
Sanjay Singh Rajpoot,Hindi Translation for P5.js website,Processing Foundation
Pavindu Lakshan,Apache OODT - Improving OPSUI React.js UI with Advanced Functionalities,The Apache Software Foundation
Sai karthikeya,Bug fixing & Improving User Interface in enviroCar Android,52°North GmbH
Siddhartha Jejurkar,Blender - UV editor improvements,Blender Foundation
Larry Dong,pymc3.dp: Bayesian Stati-sticks for Summer 2021,NumFOCUS
Fikri Yurcel Milano,Android FHIR Client as The Standard Implementation of Android FHIR SDK,Google FHIR SDK
Nathan Wood,Improving GOpt Visualization be Implementing Avogadro as an Alternative to Visualizing Molecular  Dynamics,Open Chemistry
CodeChamp_SS,Pocket Code for Android: Refactoring and Rewriting Production Code and Tests to Kotlin,International Catrobat Association
Sanket Shevkar,Signing Template and Signing Contracts,Accord Project
Niki Ito,Activism Through Storytelling with Code,Processing Foundation
BHAVESH SHARMA,Develop an Android mobile application for newborn clinical decision support,LibreHealth
Utsav Akhaury,Automatic Realization of AI-Based Electromagnetic Models,gprMax
Balaje,A fast finite element interpolator in Gridap.jl,NumFOCUS
Bartłomiej Rasztabiga,The REST of Administration,OpenMRS
Jatin Sharma,Community datasets in TFDS,TensorFlow
Ainhoa Maestro,VISIT THE WORLD HOME EDITION,Liquid Galaxy project
Aryaman Gupta,Improve Exploration save flow: Syncing edits in the background,Oppia Foundation
Micah Kendall,A Lua library for Freechains-P2P,LabLua
July541,Implement missing refactoring in Haskell Language Server,Haskell.org
Kumar Saurabh Raj,"MusicBlocks v4: Friendly, Intuitive, Fast",Sugar Labs
Shridhar Goel,Development of AnkiDroid project,AnkiDroid
Donald Lee,Lua hook points,FRRouting
Shriyanshu Kukreti,Awesome Demo Game Project - Sisters of the Faldroid,International Catrobat Association
GUIFO FODJO A Yvan,Matrix state of the art,Pharo Consortium
Metehan Arslan,Advanced Audio Filters,VideoLAN
Akshit,Add logging support to Simulation Execution Manager (SEM),The ns-3 Network Simulator Project
Daniil Ignatiev,A morphological analyzer for Bagvalal,Apertium
Hồng Quân Trần,Apache James - Implement Thread support for JMAP,The Apache Software Foundation
Roshan Swain,Example Zoo,mlpack
Hang Yan,Enable CUDA builds on CI,Point Cloud Library
Manorit Chawdhry,Implementing Linux support in Drakvuf-Sandbox,The Honeynet Project
Daniel Swanson,Unipertium,Apertium
moki1202,PEcAn in CRAN,PEcAn Project
btut,Improve pdf support in JabRef,JabRef e.V.
Katie Liu,Adding Alt Text,Processing Foundation
Pranav Ballaney,SBML Simulator in Rust,National Resource for Network Biology (NRNB)
Geraldine Galindo,Code Completion in Pharo,Pharo Consortium
Anubhab Das,"Logging, Unit Test Infrastructure and Precooked Sources for PRMON",CERN-HSF
Shyam,Service Market,SCoRe Lab
Adam Leung,VLC Qt interface redesign,VideoLAN
Fahad Israr,Project Starfix : Open anything anywhere in any IDE/editor,JBoss Community
Cyrine Gamoudi,Port SAST and Secret Detection rails platform code to GitLab CE project,GitLab
Apoorva Agarwal-1,Journals Open Review Workflow and Integration,Cuneiform Digital Library Initiative (CDLI)
Manuel Genovés,Libadwaita animation API,GNOME Foundation
Ming Liang Ang,Convert Matlab ML examples to Python / JAX,TensorFlow
orion cohen,A Solvation Module for MDAnalysis,MDAnalysis
Yurii Halychanskyi,Direct Objective Function for Anomaly Detection,Machine Learning for Science (ML4SCI) Umbrella Organization
Rohitesh Jain,Add/Improve tests in Spoon,CASTOR
FromG,Pocket Paint for Android: Additional brush options,International Catrobat Association
Joshua Nsereko,Patch Security Vulnerabilities Identified by NCSU,OpenMRS
Shantanu Kaushik,Adding to p5.js Friendly Error System,Processing Foundation
Sachin Jindal,Reference Image Improvement,KDE Community
Pau Riera i Portillo,[Gridap] Visualizing PDE approximations in Julia with Gridap.jl and Makie.jl,NumFOCUS
Vinayak Sharma,EOS Icons react library,Python Software Foundation
Masood Kamandy,Add Examples and Fix Bugs in Swift Processing,Processing Foundation
Joykirat Singh,MusicBlocks Menus and Palettes,Sugar Labs
Kira Patton,Kotlin & Gradle work for Android Tools project,Debian
Javed Ali,Adding analysis report and Direct import from GEO databases to ABioTrans Plus,National Resource for Network Biology (NRNB)
Nishant Mittal,Template Plugin,Joplin
Samarpan Dutta,"Casbin-Server, Rocket-Authz, JSON-Adapter",Casbin
Thanoshan M.V.,Proofread Oracle DML SQL Definitions for the ShardingSphere Parser,The Apache Software Foundation
Anirban Chetia,Improvements to the directlabels package,The R Project for Statistical Computing
Pulkit Midha,MediaPipe Holistic in Unity,MediaPipe
Rohit Topi,CernVM-FS preload capability,CERN-HSF
Ayush Prasad,Adding ICOS and GEDI data streams to PEcAn,PEcAn Project
Shivam Agarwal,WebStatus Developer Tooling,Chromium
Callum Brown,Token Authenticated Registration,Matrix.org
Sanchit (pilgrim2308),Gitmate for coala,coala
ranjit shah,Frontend reimplementation using react,Digital Impact Alliance (DIAL) at UN Foundation
anuejn,GUI for AXIOM Recorder,apertus° Association
Veronia Iskandar,Bring up CV32E40P AI accelerator on FPGA,Free and Open Source Silicon Foundation
Utkarsh Shendge,Improved UI design and Multilingual Support,The Palisadoes Foundation
Valerius_B,Freifunk Radio Ressource Management with IEEE 802.11v,freifunk
Özgür Kara,Graphical User Interface for OpenAI Gym,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
Sandeep Saurav,Integrating 3D scene builder as WPS services within MapMint administration User Interface,OSGeo - Open Source Geospatial Foundation
Azamat Akimniyazov,Develop a prototype MT system for a strategic language pair uzb->kaa,Apertium
Jianhui Lu,Add monitoring of pg_stat_statements to pg_systat,PostgreSQL
Ankit kumar,SMART-on-FHIR,OpenMRS
fibersel,Add ttl for cassandra snapshots,The Apache Software Foundation
Rushikesh Tote,Lua-Casbin,Casbin
Aaron Saw Min Sern,Parallelization of existing modules for GRASS GIS,OSGeo - Open Source Geospatial Foundation
Jaikishan Brijwani,Sugarizer Security and Availability,Sugar Labs
AYAN BISWAS,Integration of CircuitVerse with LMS Platforms,CircuitVerse.org
Soumya,Display simulation data for rigid bodies and cloth,Blender Foundation
Pratyush Das,Integrate custom derivatives of Numerical Computing routines like BLAS and Eigen into Enzyme,The LLVM Compiler Infrastructure
Harsh Khilawala,Measure the Quality of CerebUnit Validation Tests,INCF
Piyumal Demotte,Input/Out Workflows for Active Segmentation Platform,INCF
Santhosh Anguluri,Collective Operations over multiple layers/groups,KDE Community
Rishabh Garg,Improve Tree Ensemble Support,mlpack
Daniyal Abbasi,Adding a Redis cache backend to Core,Django Software Foundation
Ayush Tiwari,Agora-Web,AOSSIE
Riccardo Mori,Use official isl C++ bindings for polly,The LLVM Compiler Infrastructure
Julius Hohnerlein,Hydra - Hybrid Fuzzing with LibAFL,AFLplusplus
Mark Nawar,re2r back on CRAN,The R Project for Statistical Computing
Saahil,DFFML: Support Archive Storage for  Models,Python Software Foundation
Ashish-Kumar,VRP functionality with VROOM on the database for pgRouting,OSGeo - Open Source Geospatial Foundation
Suryansh Singh Tomar,Proposal for Monumento,AOSSIE
Christos Margiolis,libmixer(3),FreeBSD Project
Fahad Nayyar,Beneficial region-instantiation for SPF,Java PathFinder
